policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported_bin,incident_month,incident_dayofweek,claim_to_premium_ratio
TX,400,778.63,19,OTHER,High School,Sales,reading,Parked Car,Unknown,Minor Damage,Fire,IL,15,3,1,4,No,20216.1,19597.28,1,7,0,25.96367979656576
TX,500,1105.42,54,MALE,Masters,Engineer,yachting,Multi-vehicle Collision,Rear,Total Loss,Police,GA,23,1,4,0,No,11173.69,16925.73,0,12,1,10.108094660852888
FL,700,1332.06,23,FEMALE,Masters,Sales,camping,Single Vehicle Collision,Unknown,Major Damage,Fire,TX,18,1,4,1,No,10427.24,12587.8,1,5,6,7.8279056498956505
FL,800,864.63,49,OTHER,PhD,Manager,hiking,Vehicle Theft,Rear,Minor Damage,None,IL,13,3,1,1,No,6734.05,9302.75,0,11,6,7.788360339104588
CA,300,720.6,46,FEMALE,Masters,Engineer,chess,Single Vehicle Collision,Side,Total Loss,Police,FL,9,2,1,3,Yes,22835.58,19330.55,1,2,1,31.68967527060783
GA,200,1414.3,31,OTHER,College,Lawyer,hiking,Single Vehicle Collision,Front,Major Damage,Fire,CA,21,3,0,1,No,16291.79,21166.84,0,1,3,11.519331117867496
NC,600,1041.37,35,MALE,College,Lawyer,movies,Vehicle Theft,Unknown,Major Damage,Police,TX,9,2,1,5,No,11494.26,18239.57,0,6,0,11.037633117911982
TX,1000,1153.71,29,MALE,College,Clerk,camping,Vehicle Theft,Side,Major Damage,None,NC,22,3,2,5,Yes,12136.47,13432.42,0,10,6,10.51951530280573
OH,400,695.14,18,OTHER,Masters,Lawyer,hiking,Single Vehicle Collision,Side,Minor Damage,None,NY,20,2,3,2,Yes,21473.76,24202.51,0,3,4,30.891273700261817
TX,200,619.08,70,MALE,Masters,Sales,yachting,Parked Car,Side,Minor Damage,None,MI,17,1,1,1,No,10881.68,17644.29,0,2,0,17.577179039865605
TX,200,603.84,58,OTHER,High School,Engineer,hiking,Parked Car,Unknown,Total Loss,None,TX,8,3,4,4,Yes,6474.93,12742.57,0,5,0,10.722923290937997
GA,400,1247.61,35,FEMALE,PhD,Sales,yachting,Multi-vehicle Collision,Side,Major Damage,Ambulance,TX,15,3,3,4,No,1618.91,1979.88,0,4,3,1.2976090284624202
FL,400,685.47,54,MALE,PhD,Engineer,movies,Multi-vehicle Collision,Unknown,Total Loss,Ambulance,TX,21,1,3,3,Yes,8329.98,9560.3,0,8,4,12.152216727209067
NY,300,1183.69,68,MALE,Masters,Clerk,yachting,Single Vehicle Collision,Rear,Minor Damage,None,MI,16,3,4,5,No,9486.08,8721.78,0,4,0,8.013990149447913
FL,500,757.47,42,MALE,Masters,Doctor,yachting,Vehicle Theft,Side,Total Loss,Ambulance,FL,18,1,3,0,Yes,6991.53,10558.01,0,9,0,9.230108123093983
IL,600,1013.56,53,FEMALE,High School,Technician,chess,Single Vehicle Collision,Rear,Total Loss,Ambulance,OH,9,4,0,0,No,10199.9,12207.3,0,2,0,10.063439756896484
NC,600,1057.28,28,FEMALE,PhD,Teacher,reading,Parked Car,Unknown,Major Damage,Police,CA,8,2,4,3,No,4016.81,3810.92,0,5,4,3.7991922669491527
NC,700,859.81,39,FEMALE,PhD,Lawyer,movies,Single Vehicle Collision,Front,Total Loss,Ambulance,IL,21,3,2,0,Yes,2052.17,1959.62,1,8,3,2.3867714960281927
PA,1000,698.9,41,FEMALE,Masters,Manager,paintball,Single Vehicle Collision,Rear,Major Damage,None,CA,17,4,1,3,No,21395.82,24141.65,0,5,0,30.613564172270713
PA,400,1067.78,32,MALE,PhD,Sales,yachting,Multi-vehicle Collision,Side,Major Damage,None,FL,5,4,3,1,Yes,1242.23,1364.18,0,4,6,1.163376350933713
FL,300,1482.56,74,MALE,College,Technician,reading,Single Vehicle Collision,Front,Total Loss,Ambulance,GA,6,3,2,4,Yes,12159.74,12242.94,0,1,5,8.201853550615152
NY,300,1100.36,70,MALE,PhD,Sales,reading,Single Vehicle Collision,Unknown,Total Loss,Police,CA,16,3,1,2,No,11311.49,11363.39,0,8,1,10.2798084263332
PA,200,1436.05,71,MALE,Masters,Doctor,chess,Multi-vehicle Collision,Rear,Minor Damage,Fire,NC,19,2,1,2,Yes,3360.6,3498.43,0,4,0,2.3401692141638524
GA,400,651.8,66,OTHER,PhD,Clerk,chess,Multi-vehicle Collision,Front,Total Loss,Ambulance,MI,16,2,0,5,Yes,3246.58,4536.08,0,2,6,4.980945075176435
CA,500,965.15,45,FEMALE,PhD,Teacher,hiking,Parked Car,Side,Major Damage,Fire,NC,22,2,0,2,Yes,11117.02,9800.92,0,5,5,11.518437548567581
PA,400,657.23,30,OTHER,High School,Technician,paintball,Vehicle Theft,Side,Minor Damage,None,NY,8,2,3,1,No,8766.46,11135.82,0,11,1,13.338496416779511
NY,700,1236.81,63,FEMALE,Masters,Engineer,hiking,Multi-vehicle Collision,Side,Minor Damage,Ambulance,CA,8,1,4,1,Yes,5066.86,4406.15,0,9,6,4.096716553067973
NC,500,1403.51,68,OTHER,College,Doctor,chess,Single Vehicle Collision,Rear,Total Loss,None,FL,20,1,1,5,Yes,15435.33,18452.54,0,2,2,10.997663002044874
PA,300,1211.15,22,MALE,PhD,Teacher,camping,Single Vehicle Collision,Side,Total Loss,Ambulance,MI,2,3,1,2,No,14851.16,17380.88,1,4,3,12.262031953102422
CA,300,612.31,46,MALE,PhD,Clerk,camping,Single Vehicle Collision,Rear,Major Damage,Fire,FL,18,4,0,1,Yes,5122.85,5160.78,0,1,5,8.366432036060166
CA,500,1238.17,41,OTHER,College,Clerk,hiking,Parked Car,Unknown,Total Loss,None,FL,23,3,2,5,No,15296.6,15599.7,0,9,2,12.354200150221697
CA,400,718.16,28,OTHER,High School,Manager,hiking,Multi-vehicle Collision,Unknown,Minor Damage,Ambulance,IL,10,3,0,2,No,375.43,573.3,0,7,4,0.5227665144257547
NC,800,1199.21,73,OTHER,College,Teacher,paintball,Single Vehicle Collision,Rear,Minor Damage,Ambulance,NY,13,2,1,2,Yes,14866.26,17168.33,0,6,2,12.396711168185723
TX,800,833.42,61,OTHER,High School,Technician,paintball,Single Vehicle Collision,Side,Total Loss,None,NC,16,4,0,2,Yes,3964.55,6015.8,0,4,1,4.7569652756113365
FL,200,957.59,40,MALE,College,Engineer,movies,Vehicle Theft,Side,Minor Damage,Ambulance,TX,3,4,4,3,Yes,26797.73,23896.48,0,3,2,27.984554976555728
CA,700,650.98,49,MALE,High School,Manager,paintball,Parked Car,Front,Major Damage,Police,CA,5,1,1,0,Yes,13144.16,16036.96,0,1,5,20.191342283941133
GA,600,1251.39,24,MALE,College,Manager,yachting,Parked Car,Side,Total Loss,Fire,FL,22,1,2,2,Yes,3869.37,3377.28,0,5,0,3.092057631913312
NC,400,1209.79,19,MALE,PhD,Lawyer,reading,Single Vehicle Collision,Side,Total Loss,Police,FL,2,1,3,4,No,5921.02,6003.67,0,8,4,4.894254374726192
NC,500,1119.19,36,FEMALE,High School,Lawyer,paintball,Single Vehicle Collision,Rear,Total Loss,Police,NY,9,4,3,1,Yes,5750.96,8835.05,0,6,1,5.138501952304791
NY,600,1359.1,42,OTHER,PhD,Engineer,hiking,Parked Car,Rear,Total Loss,Police,GA,13,3,1,1,No,699.6,941.25,0,7,2,0.5147524096828784
PA,600,1215.76,74,OTHER,Masters,Teacher,camping,Single Vehicle Collision,Front,Total Loss,None,IL,20,3,0,1,No,3218.26,2689.25,0,1,4,2.6471178522076726
PA,600,1465.88,22,OTHER,Masters,Sales,chess,Vehicle Theft,Side,Minor Damage,Police,MI,11,4,2,3,Yes,22293.22,21874.31,1,12,1,15.20807978825006
FL,700,694.12,66,MALE,High School,Sales,chess,Single Vehicle Collision,Front,Total Loss,Fire,OH,4,1,2,1,Yes,14162.28,17935.18,0,11,1,20.403215582320062
FL,800,1019.1,39,MALE,College,Technician,hiking,Vehicle Theft,Rear,Major Damage,Fire,NC,17,4,4,3,Yes,4029.37,7002.92,0,1,6,3.9538514375429297
IL,300,1412.06,55,MALE,College,Clerk,movies,Single Vehicle Collision,Unknown,Total Loss,None,IL,3,4,3,1,No,12363.19,10797.62,1,8,6,8.755428239593218
GA,200,614.38,45,OTHER,PhD,Lawyer,movies,Parked Car,Rear,Minor Damage,Police,IL,0,1,3,2,Yes,3752.07,3336.82,0,6,2,6.1070835639180965
NC,800,1249.23,42,FEMALE,PhD,Doctor,yachting,Parked Car,Rear,Major Damage,None,GA,11,1,4,2,Yes,19560.96,19876.26,1,5,0,15.658413582766984
IL,200,883.36,69,FEMALE,High School,Lawyer,chess,Parked Car,Unknown,Total Loss,Police,GA,11,2,4,2,Yes,21904.75,18998.97,0,12,1,24.79708159753668
PA,600,1387.26,34,MALE,High School,Manager,chess,Vehicle Theft,Unknown,Total Loss,None,FL,21,1,1,5,No,15852.85,21433.58,0,10,5,11.427454118189813
PA,800,1014.38,53,FEMALE,Masters,Manager,yachting,Multi-vehicle Collision,Front,Minor Damage,None,GA,5,2,4,4,No,13882.0,18687.75,0,1,6,13.685206727261972
NY,700,1493.59,59,OTHER,High School,Engineer,camping,Multi-vehicle Collision,Side,Minor Damage,Police,NC,18,4,3,3,No,11511.8,13490.86,1,11,2,7.707469921464391
OH,200,726.64,73,OTHER,High School,Teacher,reading,Multi-vehicle Collision,Rear,Major Damage,Fire,MI,0,2,1,5,No,9111.44,8912.34,0,8,5,12.539139050974349
OH,800,817.16,24,OTHER,PhD,Clerk,movies,Parked Car,Front,Minor Damage,Ambulance,PA,14,1,4,2,Yes,8193.43,12187.4,0,4,3,10.026714474521514
IL,300,773.21,36,OTHER,PhD,Technician,chess,Parked Car,Rear,Minor Damage,Ambulance,OH,3,2,0,5,Yes,27914.92,24315.66,0,8,4,36.10263705849639
OH,300,643.31,59,OTHER,High School,Doctor,camping,Single Vehicle Collision,Rear,Total Loss,Ambulance,CA,4,3,2,2,Yes,6883.67,7069.04,0,10,4,10.700393278512694
IL,600,680.5,25,OTHER,Masters,Sales,chess,Multi-vehicle Collision,Side,Major Damage,Ambulance,TX,9,3,3,1,No,8132.15,7639.71,0,6,6,11.95025716385011
NY,1000,1127.49,32,FEMALE,College,Manager,reading,Multi-vehicle Collision,Unknown,Major Damage,None,MI,18,4,1,1,Yes,651.1,1179.97,0,6,4,0.5774774055645726
CA,1000,796.67,68,FEMALE,PhD,Clerk,chess,Multi-vehicle Collision,Side,Total Loss,Ambulance,PA,8,2,4,0,No,15366.68,15011.41,0,12,5,19.288638959669626
OH,200,714.88,56,OTHER,PhD,Sales,camping,Multi-vehicle Collision,Front,Minor Damage,None,TX,20,4,1,0,No,19862.61,16578.84,0,9,0,27.784537264995524
GA,700,1112.11,21,MALE,College,Manager,hiking,Single Vehicle Collision,Front,Major Damage,Fire,CA,23,1,0,5,Yes,7130.24,8543.17,0,1,1,6.411452104558003
PA,400,1399.57,55,MALE,College,Engineer,hiking,Single Vehicle Collision,Unknown,Major Damage,Fire,TX,3,2,4,3,Yes,11274.06,12268.56,0,10,0,8.05537415063198
OH,700,852.83,57,OTHER,High School,Technician,movies,Multi-vehicle Collision,Front,Major Damage,Ambulance,PA,11,2,3,3,Yes,8822.5,10129.34,0,8,1,10.34496910286927
NC,300,1217.13,52,OTHER,College,Manager,yachting,Vehicle Theft,Side,Minor Damage,Police,IL,12,3,1,5,Yes,12362.7,12786.24,0,9,1,10.157255182273051
GA,300,749.89,61,MALE,High School,Sales,movies,Parked Car,Unknown,Major Damage,Police,TX,13,3,2,0,Yes,11971.19,15627.14,0,11,2,15.963928042779608
NY,300,1286.19,58,FEMALE,College,Lawyer,hiking,Parked Car,Front,Minor Damage,Police,GA,5,3,1,3,No,11912.22,11832.08,0,7,2,9.261633195717584
TX,500,644.47,20,OTHER,High School,Technician,yachting,Parked Car,Unknown,Total Loss,Fire,OH,9,4,4,4,No,2810.27,3136.96,0,6,6,4.3605908731205485
OH,300,1331.62,67,FEMALE,PhD,Manager,reading,Multi-vehicle Collision,Rear,Minor Damage,Fire,MI,11,2,0,2,No,1559.2,2303.43,0,5,4,1.1709046124269689
IL,700,1436.93,70,FEMALE,College,Clerk,chess,Single Vehicle Collision,Unknown,Minor Damage,Fire,CA,18,1,4,1,Yes,9166.43,8577.42,0,6,1,6.3791764386574155
FL,800,1220.43,47,MALE,Masters,Teacher,yachting,Parked Car,Rear,Total Loss,Ambulance,GA,16,3,1,3,Yes,23222.43,22083.15,0,2,2,19.02807207295789
CA,700,1021.99,20,MALE,Masters,Clerk,movies,Single Vehicle Collision,Front,Total Loss,Fire,CA,20,1,2,5,Yes,6755.53,8831.63,0,2,0,6.610172310883668
MI,800,1079.51,29,MALE,Masters,Teacher,movies,Parked Car,Unknown,Minor Damage,Ambulance,IL,16,4,0,0,No,13179.61,13318.55,0,8,5,12.208881807486732
NC,300,1298.17,50,OTHER,High School,Manager,yachting,Vehicle Theft,Side,Minor Damage,Police,PA,17,3,1,3,Yes,15835.21,24096.64,0,5,3,12.198101943505087
TX,200,1108.26,37,OTHER,PhD,Technician,movies,Single Vehicle Collision,Side,Total Loss,Ambulance,CA,16,4,3,4,Yes,7586.24,10212.94,0,7,4,6.845180733762835
GA,600,937.64,18,OTHER,High School,Doctor,yachting,Single Vehicle Collision,Front,Total Loss,None,MI,22,1,2,2,No,13353.85,20219.02,0,11,5,14.241979864340259
GA,800,1196.84,59,FEMALE,PhD,Technician,paintball,Multi-vehicle Collision,Unknown,Minor Damage,Ambulance,FL,2,2,4,5,Yes,5375.66,8725.06,0,9,4,4.491544400254003
FL,1000,1211.89,28,MALE,Masters,Technician,movies,Single Vehicle Collision,Side,Total Loss,Police,GA,2,3,3,1,Yes,26592.85,24580.99,0,4,3,21.94328693198227
NY,800,611.9,36,FEMALE,College,Sales,camping,Single Vehicle Collision,Unknown,Minor Damage,Police,NC,6,1,0,2,No,5735.45,11291.0,0,9,5,9.37318189246609
PA,300,1132.85,69,MALE,Masters,Manager,movies,Parked Car,Rear,Minor Damage,None,GA,19,2,3,4,No,6435.18,6964.03,0,1,6,5.680522575804388
OH,1000,674.82,49,OTHER,High School,Technician,hiking,Parked Car,Unknown,Minor Damage,Ambulance,TX,6,1,0,2,Yes,20993.48,22648.36,0,1,2,31.109747784594408
GA,1000,1455.55,39,FEMALE,College,Manager,paintball,Multi-vehicle Collision,Rear,Major Damage,None,GA,14,2,3,4,No,16269.11,15805.68,1,9,1,11.177293806464911
OH,200,1132.69,38,FEMALE,Masters,Lawyer,paintball,Single Vehicle Collision,Unknown,Minor Damage,Ambulance,TX,18,2,2,0,No,8489.3,12926.15,0,7,4,7.49481323221711
TX,700,899.21,50,MALE,PhD,Sales,movies,Single Vehicle Collision,Rear,Total Loss,Police,MI,19,3,4,4,No,6795.31,10849.26,0,7,6,7.556977791617086
CA,1000,1170.68,68,MALE,PhD,Teacher,hiking,Multi-vehicle Collision,Rear,Total Loss,None,FL,9,1,0,2,Yes,12649.19,17678.21,0,11,2,10.804993678887485
MI,800,762.78,62,OTHER,High School,Doctor,paintball,Vehicle Theft,Front,Minor Damage,Fire,NC,20,4,4,4,No,2766.4,5189.82,0,12,1,3.626733789559244
PA,400,680.29,18,OTHER,College,Engineer,movies,Multi-vehicle Collision,Rear,Major Damage,None,GA,22,3,3,4,No,2612.59,4742.6,0,6,1,3.840406297314381
OH,700,651.12,74,FEMALE,PhD,Lawyer,reading,Multi-vehicle Collision,Front,Total Loss,Ambulance,OH,18,4,3,2,Yes,852.0,990.39,0,6,4,1.3085145595281975
FL,1000,949.43,68,FEMALE,College,Doctor,reading,Vehicle Theft,Unknown,Total Loss,Ambulance,FL,18,3,3,0,No,15366.95,14218.25,1,10,3,16.185448110971848
CA,600,983.64,27,OTHER,PhD,Engineer,yachting,Vehicle Theft,Front,Major Damage,Ambulance,CA,22,3,3,3,No,532.01,657.65,0,12,6,0.5408584441462324
IL,800,1365.43,60,OTHER,PhD,Teacher,movies,Multi-vehicle Collision,Unknown,Total Loss,Police,OH,6,4,2,1,Yes,11944.35,10068.22,0,11,2,8.747683879803432
FL,700,702.39,59,MALE,Masters,Teacher,reading,Single Vehicle Collision,Unknown,Major Damage,Ambulance,FL,7,4,1,2,Yes,8815.56,7986.02,0,10,3,12.550805108273181
TX,500,1402.67,23,FEMALE,Masters,Sales,paintball,Vehicle Theft,Rear,Minor Damage,Police,FL,14,2,4,1,No,3292.3,4069.04,1,5,5,2.34716647536484
OH,400,1041.29,59,OTHER,Masters,Clerk,yachting,Single Vehicle Collision,Front,Total Loss,None,IL,4,3,1,0,No,23463.5,24933.76,0,7,6,22.533107971842618
PA,500,611.44,37,FEMALE,Masters,Teacher,hiking,Single Vehicle Collision,Unknown,Total Loss,Fire,IL,22,2,2,5,Yes,1369.88,1425.08,0,11,3,2.240416066989402
NC,600,1067.14,69,MALE,Masters,Doctor,paintball,Parked Car,Front,Total Loss,None,NY,4,2,1,3,Yes,3371.05,6522.66,0,5,5,3.1589575875705154
GA,1000,1290.1,18,OTHER,College,Lawyer,paintball,Vehicle Theft,Side,Minor Damage,None,OH,10,4,3,3,No,11196.71,21770.94,0,3,1,8.678947368421053
MI,1000,1231.59,27,FEMALE,Masters,Sales,reading,Vehicle Theft,Unknown,Minor Damage,Police,OH,0,4,4,0,Yes,24946.19,23891.17,0,12,2,20.25527164072459
OH,800,631.18,22,OTHER,High School,Technician,reading,Multi-vehicle Collision,Unknown,Minor Damage,Ambulance,NY,2,4,3,2,Yes,6907.22,6186.18,0,7,2,10.943344212427519
NC,700,1067.83,64,MALE,Masters,Lawyer,yachting,Multi-vehicle Collision,Rear,Total Loss,Fire,GA,4,1,1,5,No,487.0,807.78,0,5,3,0.45606510399595446
NY,800,995.42,18,OTHER,High School,Manager,reading,Multi-vehicle Collision,Side,Minor Damage,None,MI,10,3,0,2,No,3708.6,5227.47,0,12,2,3.72566353900866
NY,800,641.57,73,FEMALE,High School,Doctor,movies,Vehicle Theft,Rear,Major Damage,Fire,IL,10,4,4,0,No,6787.56,11049.93,0,3,5,10.579609395701171
IL,1000,781.11,35,OTHER,College,Teacher,yachting,Vehicle Theft,Side,Minor Damage,None,OH,9,2,0,3,Yes,7609.6,12143.0,0,8,0,9.742033772452023
NC,300,672.64,33,FEMALE,PhD,Lawyer,camping,Multi-vehicle Collision,Front,Major Damage,Ambulance,OH,15,4,1,5,Yes,7666.75,10549.11,0,10,3,11.397998929590866
OH,400,1441.6,50,OTHER,High School,Clerk,movies,Vehicle Theft,Unknown,Minor Damage,Police,CA,22,4,3,4,No,8310.4,14041.13,0,10,0,5.764705882352941
GA,600,850.37,52,FEMALE,College,Engineer,chess,Vehicle Theft,Front,Minor Damage,Ambulance,PA,15,2,4,0,Yes,20433.72,20141.09,0,12,2,24.029210814116208
TX,600,1096.83,23,FEMALE,PhD,Sales,reading,Multi-vehicle Collision,Rear,Major Damage,Fire,MI,16,1,0,0,Yes,28950.52,24224.96,0,10,2,26.394719327516572
NY,300,1393.31,44,MALE,PhD,Lawyer,camping,Parked Car,Front,Total Loss,Police,TX,2,4,0,2,No,3655.62,3173.94,1,1,0,2.6236946551736513
PA,400,825.57,41,OTHER,High School,Teacher,reading,Parked Car,Front,Major Damage,Police,PA,11,3,2,0,Yes,2373.44,3792.25,0,4,4,2.874910667781048
CA,700,1271.08,74,OTHER,Masters,Engineer,yachting,Single Vehicle Collision,Front,Total Loss,Police,PA,16,4,0,4,No,13163.48,23654.65,0,8,4,10.356138087295843
FL,400,922.38,24,FEMALE,College,Teacher,reading,Single Vehicle Collision,Rear,Total Loss,None,FL,2,3,1,1,Yes,20615.96,20352.92,0,2,1,22.35083154448275
CA,400,1280.34,45,FEMALE,Masters,Teacher,camping,Parked Car,Unknown,Minor Damage,Ambulance,OH,4,2,0,1,No,12162.05,14225.25,0,6,5,9.49907836980802
PA,600,1068.61,54,OTHER,High School,Teacher,chess,Single Vehicle Collision,Front,Minor Damage,None,GA,13,3,4,3,Yes,18071.71,21523.81,0,5,3,16.91141763599442
NY,200,804.66,73,FEMALE,High School,Doctor,camping,Single Vehicle Collision,Front,Major Damage,None,FL,14,3,4,4,No,8799.27,14771.31,0,7,1,10.935388859891136
FL,500,935.39,68,OTHER,College,Manager,yachting,Multi-vehicle Collision,Side,Total Loss,Ambulance,NY,5,2,2,5,No,8450.31,8946.04,0,12,4,9.033996514822693
CA,400,1010.85,71,OTHER,College,Manager,hiking,Vehicle Theft,Rear,Total Loss,None,CA,12,4,1,4,No,22313.15,19029.51,0,3,4,22.07365088786665
TX,800,805.44,75,FEMALE,PhD,Engineer,hiking,Parked Car,Front,Total Loss,Fire,FL,12,1,2,5,No,9447.76,11605.59,0,9,1,11.729936432260628
PA,700,1276.1,50,OTHER,PhD,Clerk,hiking,Parked Car,Side,Major Damage,Ambulance,PA,21,4,0,1,No,14192.21,23701.33,0,7,1,11.121550035263693
OH,500,1092.09,42,OTHER,College,Technician,movies,Vehicle Theft,Side,Minor Damage,None,PA,5,2,1,2,No,1410.13,1932.17,0,11,0,1.2912214194800797
OH,400,1296.36,22,MALE,Masters,Technician,camping,Vehicle Theft,Rear,Major Damage,None,TX,0,2,1,3,No,11625.12,10589.55,0,11,6,8.96750902527076
GA,800,727.52,47,FEMALE,PhD,Sales,paintball,Single Vehicle Collision,Unknown,Major Damage,Police,NY,1,2,2,1,Yes,11716.41,11239.49,0,5,5,16.104588190015395
NY,600,754.84,39,FEMALE,Masters,Technician,reading,Parked Car,Unknown,Major Damage,Ambulance,PA,18,4,1,4,Yes,14302.12,17054.08,0,11,5,18.947220603041703
MI,300,822.72,40,FEMALE,College,Lawyer,chess,Vehicle Theft,Unknown,Major Damage,Ambulance,OH,22,4,1,0,Yes,14665.31,22922.0,0,8,1,17.825396246596654
TX,400,764.32,67,FEMALE,PhD,Sales,yachting,Single Vehicle Collision,Side,Minor Damage,None,IL,6,4,0,4,No,4126.68,5656.97,0,1,4,5.399152187565417
CA,400,890.05,69,OTHER,PhD,Lawyer,paintball,Parked Car,Unknown,Major Damage,None,OH,4,2,0,4,No,5939.03,8221.13,0,4,3,6.6726925453626205
NC,200,820.66,70,MALE,College,Clerk,hiking,Parked Car,Unknown,Total Loss,Ambulance,MI,20,4,4,5,Yes,6101.66,10591.58,0,3,1,7.435064460312431
NY,300,903.99,75,FEMALE,Masters,Lawyer,camping,Vehicle Theft,Side,Total Loss,Fire,TX,16,4,4,2,Yes,15086.87,15570.36,0,6,1,16.68920010177104
IL,400,667.73,69,OTHER,College,Technician,yachting,Single Vehicle Collision,Side,Minor Damage,Police,IL,1,2,3,3,No,3262.35,3951.16,0,6,2,4.885732257050005
OH,300,1182.57,21,FEMALE,College,Clerk,movies,Single Vehicle Collision,Front,Total Loss,Ambulance,PA,13,1,2,5,Yes,11695.46,10429.41,1,8,0,9.889866984618246
IL,700,1259.02,73,FEMALE,Masters,Lawyer,hiking,Parked Car,Front,Major Damage,None,PA,9,1,2,4,Yes,12699.04,11875.56,0,2,5,10.086448189861956
FL,200,1117.09,33,OTHER,PhD,Technician,paintball,Vehicle Theft,Unknown,Major Damage,Ambulance,PA,8,4,4,5,No,5186.29,9208.6,0,4,4,4.642678745669553
CA,1000,915.0,18,MALE,PhD,Doctor,yachting,Parked Car,Unknown,Major Damage,Fire,TX,12,2,0,3,Yes,5214.57,7399.93,0,1,2,5.698983606557377
OH,700,1026.08,20,OTHER,PhD,Manager,hiking,Multi-vehicle Collision,Side,Total Loss,Fire,FL,23,2,3,5,Yes,5818.42,11038.07,0,3,1,5.6705325120848284
OH,700,808.03,24,OTHER,High School,Lawyer,yachting,Vehicle Theft,Front,Major Damage,Police,CA,19,2,3,1,No,17897.59,21722.66,0,6,6,22.149660284890412
MI,300,639.85,75,OTHER,College,Teacher,hiking,Single Vehicle Collision,Unknown,Total Loss,Fire,IL,23,4,2,0,No,10404.83,11947.25,0,2,5,16.261358130811907
OH,600,750.36,48,OTHER,College,Lawyer,paintball,Parked Car,Rear,Total Loss,None,TX,5,2,0,3,No,12330.62,14564.79,0,9,0,16.43293885601578
IL,200,1138.75,56,FEMALE,College,Teacher,movies,Parked Car,Front,Minor Damage,Fire,NY,1,4,0,5,No,4678.94,6344.92,0,5,3,4.108838638858397
NY,700,1345.87,70,MALE,PhD,Engineer,camping,Vehicle Theft,Side,Total Loss,Police,OH,18,2,3,3,Yes,8553.62,16204.86,0,8,3,6.355457807960651
PA,700,680.66,35,OTHER,High School,Doctor,yachting,Multi-vehicle Collision,Unknown,Total Loss,Ambulance,OH,19,4,1,1,No,22589.34,22081.25,0,9,0,33.18740634090442
FL,300,781.87,26,OTHER,High School,Sales,paintball,Vehicle Theft,Front,Major Damage,Police,PA,1,2,2,3,No,21072.81,18105.31,0,12,5,26.951807845293978
NY,200,1407.17,39,OTHER,College,Doctor,yachting,Parked Car,Rear,Total Loss,Police,NC,20,4,0,3,Yes,2790.95,2442.37,0,4,1,1.983377985602308
OH,800,634.44,29,OTHER,College,Clerk,chess,Vehicle Theft,Unknown,Minor Damage,Fire,FL,2,1,2,0,Yes,18568.9,19537.62,0,2,2,29.26817350734506
NY,200,1108.44,22,FEMALE,PhD,Teacher,chess,Multi-vehicle Collision,Front,Total Loss,Police,FL,2,1,2,1,No,3406.93,3461.92,0,2,1,3.073625996896539
OH,700,653.99,19,OTHER,High School,Technician,camping,Vehicle Theft,Front,Total Loss,Fire,MI,7,3,4,0,Yes,17385.3,18102.38,1,9,2,26.583433997461732
GA,1000,1034.07,36,OTHER,High School,Lawyer,reading,Single Vehicle Collision,Rear,Major Damage,Police,MI,19,1,2,4,No,696.66,1372.01,0,7,3,0.6737068090167977
IL,200,1025.54,40,FEMALE,High School,Sales,movies,Single Vehicle Collision,Side,Minor Damage,Fire,CA,0,4,3,0,Yes,18412.46,15929.38,0,10,6,17.953916960820642
CA,700,1344.84,69,MALE,PhD,Doctor,yachting,Single Vehicle Collision,Unknown,Minor Damage,Fire,GA,21,1,2,4,No,19019.26,18333.54,0,1,0,14.142396121471698
CA,300,1296.2,52,FEMALE,High School,Teacher,paintball,Parked Car,Rear,Minor Damage,Ambulance,MI,9,4,0,3,No,8001.61,9475.64,0,4,4,6.173129146736614
CA,600,967.2,26,MALE,Masters,Lawyer,yachting,Parked Car,Front,Minor Damage,Ambulance,OH,10,3,2,5,Yes,29118.86,24760.45,0,11,1,30.106348221670803
PA,800,637.54,32,MALE,College,Engineer,yachting,Multi-vehicle Collision,Front,Total Loss,None,NC,9,2,4,5,Yes,5032.86,9462.87,0,8,2,7.894187031401951
NC,300,1155.55,29,FEMALE,PhD,Sales,yachting,Vehicle Theft,Front,Major Damage,Police,NY,14,3,0,0,Yes,19891.0,17955.7,0,4,1,17.213448141577604
FL,1000,1400.41,58,FEMALE,College,Teacher,camping,Multi-vehicle Collision,Front,Minor Damage,Fire,GA,22,1,1,2,No,7948.55,13386.9,0,2,0,5.675873494190987
PA,1000,777.39,37,OTHER,PhD,Doctor,reading,Parked Car,Front,Total Loss,None,CA,10,2,2,2,No,15415.72,16831.25,0,2,1,19.830098148934255
MI,500,776.94,38,FEMALE,PhD,Technician,camping,Multi-vehicle Collision,Side,Total Loss,Police,MI,7,2,0,0,Yes,19735.89,21504.05,1,11,4,25.4020773804927
FL,200,1018.93,39,FEMALE,College,Sales,camping,Multi-vehicle Collision,Unknown,Minor Damage,Fire,NC,20,4,0,5,Yes,10245.45,18699.58,0,12,3,10.05510682775068
OH,600,1023.4,39,MALE,High School,Doctor,camping,Vehicle Theft,Unknown,Major Damage,Ambulance,PA,0,3,1,1,Yes,13453.75,18172.61,0,2,2,13.146130545241352
